id,question,gold_chunk_id,retrieved_top1,hit,scores
RET_001,"Theo quy định, một giấy phép lái xe ban đầu có bao nhiêu điểm?",LAW36_ART058,DEC168_ART032_CHUNK001,True,"[0.45847755670547485, 0.4562399387359619, 0.44437915086746216, 0.44274812936782837, 0.4419313073158264]"
RET_002,Hệ thống điểm trên giấy phép lái xe nhằm theo dõi vấn đề gì của người lái?,LAW36_ART058,LAW36_ART058,True,"[0.5138567686080933, 0.47510695457458496, 0.4578515887260437, 0.4499399662017822, 0.4487757682800293]"
RET_003,"Sau khi quyết định xử phạt có hiệu lực, điểm trừ GPLX được cập nhật lúc nào?",LAW36_ART058,DEC168_ART050_CHUNK002,True,"[0.5286977291107178, 0.5232394933700562, 0.48070424795150757, 0.47470366954803467, 0.454004168510437]"
RET_004,Nếu 12 tháng sau lần trừ điểm gần nhất không vi phạm thêm thì GPLX được xử lý ra sao?,LAW36_ART058,LAW36_ART058,True,"[0.6076301336288452, 0.6050980091094971, 0.5808844566345215, 0.5753225088119507, 0.5490433573722839]"
RET_005,"Khi GPLX bị trừ hết điểm, người lái có còn được điều khiển xe theo giấy phép đó không?",LAW36_ART058,DEC168_ART050_CHUNK002,True,"[0.6980372071266174, 0.6675465703010559, 0.6657081842422485, 0.6238399744033813, 0.6124088764190674]"
RET_006,"Muốn được phục hồi điểm sau khi bị trừ hết, người lái cần đáp ứng điều kiện gì?",LAW36_ART058,DEC168_ART051_CHUNK002,True,"[0.60477614402771, 0.506955623626709, 0.4918406009674072, 0.49003496766090393, 0.48658549785614014]"
RET_007,"Khi điểm GPLX được phục hồi, người lái có được thông báo không?",DEC168_ART051_CHUNK001,DEC168_ART051_CHUNK002,True,"[0.561660647392273, 0.5569990873336792, 0.48091205954551697, 0.446367084980011, 0.39927780628204346]"
RET_008,"Nếu GPLX là thông điệp dữ liệu, thông tin phục hồi điểm sẽ hiển thị ở đâu?",DEC168_ART051_CHUNK002,DEC168_ART049,True,"[0.5371267199516296, 0.489219069480896, 0.4663321375846863, 0.3506203293800354, 0.3415335714817047]"
RET_009,"Theo luật, các loại báo hiệu đường bộ bao gồm những gì?",LAW36_ART011_CHUNK001,LAW36_ART011_CHUNK001,True,"[0.49730104207992554, 0.47452089190483093, 0.37227582931518555, 0.3654883801937103, 0.35326501727104187]"
RET_010,"Khi có nhiều loại báo hiệu cùng lúc, người tham gia giao thông phải ưu tiên theo thứ tự nào?",LAW36_ART011_CHUNK001,LAW36_ART021,True,"[0.34305083751678467, 0.2851918935775757, 0.2614783048629761, 0.2501189112663269, 0.22956237196922302]"
RET_011,Đèn tín hiệu giao thông đường bộ gồm những màu nào?,LAW36_ART011_CHUNK001,LAW36_ART011_CHUNK002,True,"[0.576401948928833, 0.48305070400238037, 0.46183881163597107, 0.4572006165981293, 0.45552781224250793]"
RET_012,Gặp tín hiệu đèn vàng thì người điều khiển phương tiện phải làm gì?,LAW36_ART011_CHUNK002,LAW36_ART011_CHUNK002,True,"[0.37042802572250366, 0.313982754945755, 0.30301642417907715, 0.2806439995765686, 0.28000113368034363]"
RET_013,Biển báo cấm có chức năng biểu thị điều gì?,LAW36_ART011_CHUNK002,LAW36_ART011_CHUNK002,True,"[0.42423102259635925, 0.2557390034198761, 0.2370152771472931, 0.23594960570335388, 0.23072025179862976]"
RET_014,Vạch kẻ đường được dùng để chỉ dẫn những nội dung nào?,LAW36_ART011_CHUNK002,LAW36_ART011_CHUNK002,True,"[0.4589890241622925, 0.3749312162399292, 0.320372611284256, 0.3119065463542938, 0.29921790957450867]"
RET_015,Nếu biển báo tạm thời khác với biển báo cố định thì người đi đường phải tuân theo biển nào?,LAW36_ART011_CHUNK002,LAW36_ART011_CHUNK002,True,"[0.4102225601673126, 0.3178766667842865, 0.3094831705093384, 0.2836740016937256, 0.2731930911540985]"
RET_016,Xe chạy với tốc độ thấp hơn các xe khác nên đi ở vị trí nào trên đường?,LAW36_ART013,LAW36_ART027_CHUNK002,False,"[0.483002245426178, 0.47134965658187866, 0.4660598039627075, 0.4397814869880676, 0.43731963634490967]"
RET_017,"Trên đường nhiều làn cùng chiều, xe có được chạy lấn qua nhiều làn không?",LAW36_ART013,LAW36_ART013,True,"[0.5973799228668213, 0.5077757239341736, 0.49803626537323, 0.488975465297699, 0.47522640228271484]"
RET_018,"Khi chuyển làn, mỗi lần xe được chuyển sang bao nhiêu làn liền kề?",LAW36_ART013,LAW36_ART013,True,"[0.5386584997177124, 0.44903403520584106, 0.42504018545150757, 0.4227265417575836, 0.40237629413604736]"
RET_019,Người lái có bắt buộc bật tín hiệu trước khi chuyển làn không?,LAW36_ART013,LAW36_ART020,False,"[0.5420365333557129, 0.5310850143432617, 0.5170703530311584, 0.513626217842102, 0.5096092820167542]"
RET_020,Phương tiện đi chậm có nên chạy giữa đường thay vì đi bên phải không?,LAW36_ART013,LAW36_ART013,True,"[0.5478614568710327, 0.4804295301437378, 0.4443311393260956, 0.4369962811470032, 0.4338375926017761]"
RET_021,Xe không thuộc nhóm được phép có được đi vào làn dành riêng cho xe buýt không?,LAW36_ART013,DEC168_ART020_CHUNK003,False,"[0.42754483222961426, 0.40490537881851196, 0.374239444732666, 0.36897438764572144, 0.3630586862564087]"
RET_022,"Trong điều kiện thông thường, xe mô tô hai bánh hoặc xe gắn máy được chở mấy người?",LAW36_ART033_CHUNK001,LAW36_ART033_CHUNK001,True,"[0.6348155736923218, 0.5406097769737244, 0.47459134459495544, 0.38526877760887146, 0.3680824041366577]"
RET_023,Những trường hợp nào xe máy được phép chở tối đa hai người?,LAW36_ART033_CHUNK001,LAW36_ART033_CHUNK001,True,"[0.5762279033660889, 0.505348265171051, 0.4417978525161743, 0.37254446744918823, 0.3676953613758087]"
RET_024,Người lái và người ngồi sau xe máy phải đội mũ bảo hiểm như thế nào?,LAW36_ART033_CHUNK001,LAW36_ART033_CHUNK001,True,"[0.508928656578064, 0.4378640949726105, 0.4189333915710449, 0.3723272979259491, 0.36047667264938354]"
RET_025,Người đang lái xe máy có được cầm hoặc sử dụng ô không?,LAW36_ART033_CHUNK001,DEC168_ART016_CHUNK003,True,"[0.47940078377723694, 0.47563427686691284, 0.4732593297958374, 0.46144816279411316, 0.45879969000816345]"
RET_026,"Người điều khiển xe máy có được dùng xe của mình để kéo, đẩy xe khác không?",LAW36_ART033_CHUNK001,LAW36_ART033_CHUNK001,True,"[0.4596637189388275, 0.4420831501483917, 0.4276289641857147, 0.4210395812988281, 0.40677353739738464]"
RET_027,Hàng hóa trên xe mô tô được nhô ra sau giá đèo hàng tối đa bao nhiêu mét?,LAW36_ART033_CHUNK002,LAW36_ART033_CHUNK002,True,"[0.36933279037475586, 0.33795252442359924, 0.3185594081878662, 0.2878166437149048, 0.2833319902420044]"
RET_028,Nội dung Điều 33 của luật giao thông đường bộ quy định về nhóm đối tượng nào?,LAW36_ART033_CHUNK001,LAW36_ART033_CHUNK002,False,"[0.41411811113357544, 0.41395798325538635, 0.404507040977478, 0.4038805365562439, 0.40167880058288574]"
RET_029,Không đội mũ bảo hiểm khi điều khiển xe máy thì mức phạt tiền là bao nhiêu?,DEC168_ART007_CHUNK002,DEC168_ART007_CHUNK003,False,"[0.5731208324432373, 0.5326040387153625, 0.5016183853149414, 0.48986467719078064, 0.4863494038581848]"
RET_030,Điều khiển xe máy chở từ ba người trở lên bị phạt mức nào?,DEC168_ART007_CHUNK003,LAW36_ART033_CHUNK001,False,"[0.5582246780395508, 0.5003981590270996, 0.49708229303359985, 0.4789378046989441, 0.4765866994857788]"
RET_031,Xe máy chạy quá tốc độ từ 10 đến 20 km/h bị xử phạt bao nhiêu tiền?,DEC168_ART007_CHUNK004,DEC168_ART008_CHUNK003,False,"[0.380799263715744, 0.3758767545223236, 0.37192022800445557, 0.3160221576690674, 0.2963770031929016]"
RET_032,Người đi xe máy vượt đèn đỏ hoặc không chấp hành đèn tín hiệu bị phạt bao nhiêu?,DEC168_ART007_CHUNK005,DEC168_ART008_CHUNK003,False,"[0.552721381187439, 0.5354955196380615, 0.5109914541244507, 0.5005873441696167, 0.47378307580947876]"
RET_033,Xe máy chạy quá tốc độ trên 20 km/h thì bị phạt trong khoảng nào?,DEC168_ART007_CHUNK005,DEC168_ART008_CHUNK003,False,"[0.5209463238716125, 0.49372097849845886, 0.46134287118911743, 0.41008850932121277, 0.40675732493400574]"
RET_034,Đi xe máy khi nồng độ cồn vượt quá 80 mg/100 ml máu bị phạt ra sao?,DEC168_ART007_CHUNK006,DEC168_ART007_CHUNK006,True,"[0.6018154621124268, 0.5362327694892883, 0.5129778385162354, 0.47725462913513184, 0.4048503041267395]"
RET_035,Lỗi xe máy không chấp hành đèn tín hiệu giao thông bị trừ mấy điểm GPLX?,DEC168_ART007_CHUNK008,DEC168_ART008_CHUNK003,False,"[0.5369369983673096, 0.5178083181381226, 0.5168560147285461, 0.5095049142837524, 0.49098390340805054]"
RET_036,Đi xe máy ngược chiều trên đường một chiều bị trừ bao nhiêu điểm GPLX?,DEC168_ART007_CHUNK008,DEC168_ART008_CHUNK002,False,"[0.5051145553588867, 0.49545198678970337, 0.46268516778945923, 0.4323955178260803, 0.4274023473262787]"
RET_037,Xe máy quay đầu trong hầm đường bộ bị xử phạt mức nào?,DEC168_ART007_CHUNK003,DEC168_ART008_CHUNK004,False,"[0.6166930198669434, 0.4903129041194916, 0.47030797600746155, 0.4695868194103241, 0.4522818326950073]"
RET_038,Nhóm từ hai xe máy trở lên chạy quá tốc độ bị phạt bao nhiêu tiền?,DEC168_ART007_CHUNK006,DEC168_ART008_CHUNK003,False,"[0.43130025267601013, 0.41273918747901917, 0.4057820439338684, 0.37457799911499023, 0.3249870240688324]"
RET_039,Ô tô chạy quá tốc độ từ 05 km/h đến dưới 10 km/h bị phạt bao nhiêu?,DEC168_ART006_CHUNK002,DEC168_ART007_CHUNK002,False,"[0.4842444658279419, 0.4707532525062561, 0.4697667062282562, 0.46513915061950684, 0.4634919762611389]"
RET_040,Người lái ô tô không thắt dây an toàn khi xe đang chạy bị phạt mức nào?,DEC168_ART006_CHUNK004,LAW36_ART045,False,"[0.5229991674423218, 0.5068256855010986, 0.5020557641983032, 0.49996060132980347, 0.49786484241485596]"
RET_041,Ô tô vượt quá tốc độ từ 10 km/h đến 20 km/h bị xử phạt bao nhiêu?,DEC168_ART006_CHUNK007,DEC168_ART034_CHUNK002,False,"[0.4878044128417969, 0.47631844878196716, 0.45631030201911926, 0.45287734270095825, 0.45103222131729126]"
RET_042,Ô tô chạy quá tốc độ trên 35 km/h thì mức phạt là bao nhiêu?,DEC168_ART006_CHUNK008,DEC168_ART007_CHUNK002,False,"[0.4874855577945709, 0.4740641713142395, 0.4740385413169861, 0.47176554799079895, 0.4488582909107208]"
RET_043,Ô tô không tuân thủ đèn tín hiệu giao thông bị phạt bao nhiêu tiền?,DEC168_ART006_CHUNK009,DEC168_ART014_CHUNK001,True,"[0.5421367883682251, 0.5293402671813965, 0.5261871814727783, 0.5252057313919067, 0.51222163438797]"
RET_044,Lái ô tô khi nồng độ cồn vượt quá 80 mg/100 ml máu bị phạt mức nào?,DEC168_ART006_CHUNK010,DEC168_ART007_CHUNK006,False,"[0.6862480640411377, 0.5556797981262207, 0.509946882724762, 0.4639582335948944, 0.43730494379997253]"
RET_045,"Ô tô đi ngược chiều hoặc quay đầu trên đường cao tốc bị phạt bao nhiêu, trừ trường hợp xe ưu tiên?",DEC168_ART006_CHUNK010,LAW36_ART017,False,"[0.4490107297897339, 0.4183861315250397, 0.4130881726741791, 0.40722352266311646, 0.4013545513153076]"
RET_046,Lái ô tô dùng tay cầm điện thoại khi xe đang di chuyển bị trừ mấy điểm GPLX?,DEC168_ART006_CHUNK011,DEC168_ART006_CHUNK005,False,"[0.501750111579895, 0.4978785514831543, 0.49540165066719055, 0.4888423681259155, 0.4840233623981476]"
RET_047,Ô tô không chấp hành đèn tín hiệu giao thông bị trừ bao nhiêu điểm GPLX?,DEC168_ART006_CHUNK011,DEC168_ART014_CHUNK001,False,"[0.5745161771774292, 0.5637384653091431, 0.5570500493049622, 0.5399217009544373, 0.5287535190582275]"
RET_048,Ô tô chạy quá tốc độ trên 35 km/h bị trừ mấy điểm giấy phép lái xe?,DEC168_ART006_CHUNK011,DEC168_ART007_CHUNK005,False,"[0.6173800230026245, 0.6153006553649902, 0.6057260036468506, 0.5852179527282715, 0.575414776802063]"
RET_049,"Đi ngược chiều, lùi xe hoặc quay đầu ô tô trên đường cao tốc bị trừ bao nhiêu điểm GPLX?",DEC168_ART006_CHUNK011,DEC168_ART008_CHUNK004,True,"[0.5683619379997253, 0.5259332060813904, 0.500334620475769, 0.489263653755188, 0.48762843012809753]"
RET_050,"Theo Điều 6, những hành vi nào có thể khiến tài xế ô tô bị tước GPLX từ 22 đến 24 tháng?",DEC168_ART006_CHUNK011,DEC168_ART013_CHUNK006,False,"[0.6312631368637085, 0.6226595640182495, 0.6116796731948853, 0.594225287437439, 0.5862932205200195]"
